match_id,date,home_team,away_team,winner
Egy30428ngoptCo,22-04-1983,Egypt,Congo,Egypt
Mau30430piausEt,24-04-1983,Mauritius,Ethiopia,Ethiopia
Hon30515andngTh,18-07-1983,Hong Kong,Thailand,Thailand
Mor30556riacoNi,28-08-1983,Morocco,Nigeria,Nigeria
Bra30609uayilPa,20-10-1983,Brazil,Paraguay,Brazil
Ivo30665alistMa,15-12-1983,Ivory Coast,Mali,Ivory Coast
Mal30668rialiNi,18-12-1983,Mali,Nigeria,Mali
Sie30728alineMa,16-02-1984,Sierra Leone,Mali,Sierra Leone
Sie30731galneSe,19-02-1984,Sierra Leone,Senegal,Senegal
Egy30755riaptNi,14-03-1984,Egypt,Nigeria,Nigeria
Alg30755ooniaCa,14-03-1984,Algeria,Cameroon,Cameroon
Ira30769taraqQa,28-03-1984,Iraq,Qatar,Iraq
Den30857ainrkSp,24-06-1984,Denmark,Spain,Spain
Sen30878olaalAn,15-07-1984,Senegal,Angola,Angola
Ken31009liayaSo,23-11-1984,Kenya,Somalia,Kenya
Gha31014ogonaTo,28-11-1984,Ghana,Togo,Ghana
Ken31024liayaSo,08-12-1984,Kenya,Somalia,Kenya
Sau31029raniaIr,13-12-1984,Saudi Arabia,Iran,Saudi Arabia
Mal31031biawiZa,15-12-1984,Malawi,Zambia,Zambia
Ira31032aitanKu,16-12-1984,Iran,Kuwait,Kuwait
Cha31032neaadEq,16-12-1984,Chad,Equatorial Guinea,Chad
Cen31035bonicGa,19-12-1984,Central African Republic,Gabon,Gabon
Con31036oongoCa,20-12-1984,Congo,Cameroon,Cameroon
Moz31153awiueMa,16-04-1985,Mozambique,Malawi,Mozambique
Mad31158yptarEg,21-04-1985,Madagascar,Egypt,Egypt
Bah31238tarinQa,10-07-1985,Bahrain,Qatar,Bahrain
Sau31240tariaQa,12-07-1985,Saudi Arabia,Qatar,Saudi Arabia
Mal31284nealiGu,25-08-1985,Mali,Guinea,Guinea
Moz31305byaueLi,15-09-1985,Mozambique,Libya,Mozambique
Ken31331ndayaUg,11-10-1985,Kenya,Uganda,Kenya
Egy31492oonptCa,21-03-1986,Egypt,Cameroon,Egypt
Bra31584nceilFr,21-06-1986,Brazil,France,France
Mex31584anycoGe,21-06-1986,Mexico,Germany,Germany
Spa31585iuminBe,22-06-1986,Spain,Belgium,Belgium
Gab31704olaonAn,19-10-1986,Gabon,Angola,Angola
Cha31763bonadGa,17-12-1986,Chad,Gabon,Chad
Mal31837oneliSi,01-03-1987,Mali,Sierra Leone,Mali
Sen31838onealSi,02-03-1987,Senegal,Sierra Leone,Senegal
Aus31947yptiaEg,19-06-1987,Australia,Egypt,Australia
Sou31949liaeaAu,21-06-1987,South Korea,Australia,South Korea
DR 31977galgoSe,19-07-1987,DR Congo,Senegal,DR Congo
Mal32124bwewiZi,13-12-1987,Malawi,Zimbabwe,Zimbabwe
Equ32129boneaGa,18-12-1987,Equatorial Guinea,Gabon,Gabon
Eth32138bweiaZi,27-12-1987,Ethiopia,Zimbabwe,Ethiopia
Sou32148ypteaEg,06-01-1988,South Korea,Egypt,South Korea
Alg32225riaiaNi,23-03-1988,Algeria,Nigeria,Nigeria
Mor32228riacoAl,26-03-1988,Morocco,Algeria,Algeria
Ger32233dennySw,31-03-1988,Germany,Sweden,Sweden
Mal32268galliSe,05-05-1988,Mali,Senegal,Mali
Gui32271alieaMa,08-05-1988,Guinea,Mali,Guinea
Can32291ecedaGr,28-05-1988,Canada,Greece,Canada
Egy32343riaptSy,19-07-1988,Egypt,Syria,Syria
Ira32345riaaqSy,21-07-1988,Iraq,Syria,Iraq
Chi32415dorleEc,29-09-1988,Chile,Ecuador,Ecuador
Esw32432nianiTa,16-10-1988,Eswatini,Tanzania,Eswatini
Cen32483bonicGa,06-12-1988,Central African Republic,Gabon,Gabon
Chi32494ranPRIr,17-12-1988,China PR,Iran,Iran
Sou32495biaeaSa,18-12-1988,South Korea,Saudi Arabia,Saudi Arabia
Gha32621bonnaGa,23-04-1989,Ghana,Gabon,Gabon
Ken32621danyaSu,23-04-1989,Kenya,Sudan,Kenya
Ira32820ndaanUg,08-11-1989,Iran,Uganda,Uganda
Ira32824ndaaqUg,12-11-1989,Iraq,Uganda,Iraq
Cha32853oonadCa,11-12-1989,Chad,Cameroon,Cameroon
Mal32858ndawiUg,16-12-1989,Malawi,Uganda,Uganda
Nig32901galiaSe,28-01-1990,Nigeria,Senegal,Nigeria
Uni32908biaesCo,04-02-1990,United States,Colombia,Colombia
Col32924siaiaRu,20-02-1990,Colombia,Russia,Colombia
Zim33011iniweEs,18-05-1990,Zimbabwe,Eswatini,Zimbabwe
Rep33049niandRo,25-06-1990,Republic of Ireland,Romania,Republic of Ireland
Yug33054inaiaAr,30-06-1990,Yugoslavia,Argentina,Argentina
Ita33057inalyAr,03-07-1990,Italy,Argentina,Argentina
Ger33058andnyEn,04-07-1990,Germany,England,Germany
Chi33088reaPRSo,03-08-1990,China PR,South Korea,South Korea
Tan33224ndaiaUg,17-12-1990,Tanzania,Uganda,Uganda
Cen33224neaicEq,17-12-1990,Central African Republic,Equatorial Guinea,Central African Republic
Cam33259riaonAl,21-01-1991,Cameroon,Algeria,Cameroon
Sen33259astalIv,21-01-1991,Senegal,Ivory Coast,Ivory Coast
Sen33260riaalAl,22-01-1991,Senegal,Algeria,Senegal
Ivo33261oonstCa,23-01-1991,Ivory Coast,Cameroon,Ivory Coast
Sou33403liaeaAu,14-06-1991,South Korea,Australia,South Korea
Ita33405sialyRu,16-06-1991,Italy,Russia,Italy
Uni33426rasesHo,07-07-1991,United States,Honduras,United States
Cze33458viaiaYu,08-08-1991,Czechoslovakia,Yugoslavia,Czechoslovakia
Fij33501ndsjiSo,20-09-1991,Fiji,Solomon Islands,Fiji
Egy33509aliptMa,28-09-1991,Egypt,Mali,Egypt
Cam33626astonIv,23-01-1992,Cameroon,Ivory Coast,Ivory Coast
Gha33629astnaIv,26-01-1992,Ghana,Ivory Coast,Ivory Coast
Net33777arkdsDe,22-06-1992,Netherlands,Denmark,Denmark
Cub33782quebaMa,27-06-1992,Cuba,Martinique,Martinique
Jap33845reaanSo,29-08-1992,Japan,South Korea,Japan
Syr33862yptiaEg,15-09-1992,Syria,Egypt,Egypt
Chi33916tesPRUn,08-11-1992,China PR,United Arab Emirates,China PR
Uga33933biadaZa,25-11-1992,Uganda,Zambia,Uganda
Jap33992andanSw,23-01-1993,Japan,Switzerland,Switzerland
Fin34020niandEs,20-02-1993,Finland,Estonia,Finland
Arg34024arknaDe,24-02-1993,Argentina,Denmark,Argentina
Bol34116uayiaPa,27-05-1993,Bolivia,Paraguay,Bolivia
Mar34117visueSa,28-05-1993,Martinique,Saint Kitts and Nevis,Martinique
